Staging Ref,SPUT Staging Ref,Device Size Staging Ref,Number of Occupiers,Start Date,End Date,Average Daily Usage
NHH-450-IOS,SPUT006,450mm,,01/04/2020,,45
NHH-450-WBT,SPUT008,450mm,,01/04/2022,,45
600-DEF,,600mm,,01/04/2017,,0.28
HH-600-1,,600mm,1,01/04/2017,,0.19
HH-600-2,,600mm,2,01/04/2017,,0.28
HH-600-3,,600mm,3,01/04/2017,,0.41
HH-600-4,,600mm,4,01/04/2017,,0.55
HH-600-5,,600mm,5,01/04/2017,,0.69
HH-600-6,,600mm,6,01/04/2017,,0.82
HH-600-7,,600mm,7,01/04/2017,,0.95
HH-600-8,,600mm,8,01/04/2017,,1.08
HH-600-9,,600mm,9,01/04/2017,,1.21
HH-600-10,,600mm,10,01/04/2017,,1.34
HH-600-11,,600mm,11,01/04/2017,,1.47
HH-600-12,,600mm,12,01/04/2017,,1.6
HH-600-13,,600mm,13,01/04/2017,,1.73
HH-600-14,,600mm,14,01/04/2017,,1.86
HH-600-15,,600mm,15,01/04/2017,,1.99
NHH-600-BW,SPUT002,600mm,,01/04/2017,,60
NHH-600-SWW,SPUT004,600mm,,01/04/2017,,60
NHH-600-IOS,SPUT006,600mm,,01/04/2020,,60
NHH-600-WBT,SPUT008,600mm,,01/04/2022,,60
